Target total_coverage average_coverage on_target
chr1:1216042-1216047 485.271863445025 80.8786439075042 TRUE
chr1:1216606-1216678 9418.65837201879 129.022717424915 TRUE
chr1:1216791-1216991 44303.8851131705 220.417338871495 TRUE
chr1:1217622-1217696 6104.91399337206 81.3988532449608 TRUE
chr1:1219358-1219471 3260.5628908481 28.6014288670886 TRUE
chr1:1220951-1221045 2976.32721105093 31.3297601163256 TRUE
chr1:1221306-1221659 106062.60941082 299.611890991018 TRUE
chr1:1222148-1222356 28438.9248561558 136.071410795004 TRUE
chr1:1222489-1222680 18834.1086848756 98.0943160670606 TRUE
chr1:1222888-1222977 16337.9153916353 181.532393240392 TRUE
chr1:1223053-1223217 18401.7286824839 111.52562837869 TRUE
chr1:1223319-1223418 6037.00533402997 60.3700533402997 TRUE
chr1:1225651-1225769 16425.3628910461 138.028259588623 TRUE
chr1:1225857-1225936 16250.5846673126 203.132308341407 TRUE
chr1:1226017-1226075 4290.42829020306 72.7191235627638 TRUE
chr1:1226275-1226334 2755.35523179729 45.9225871966215 TRUE
chr1:1226445-1226521 4581.03253904654 59.4939290785265 TRUE
chr1:1226634-1226991 32212.7828666421 89.9798404096148 TRUE
chr1:3731966-3732082 17682.0024336463 151.128225928601 TRUE
chr1:3732844-3732935 5673.76144734888 61.6713200798791 TRUE
chr1:3739738-3739806 4885.40540042656 70.8029768177763 TRUE
chr1:3739988-3740127 34844.0614427475 248.886153162482 TRUE
chr1:3742322-3742431 15657.0726593889 142.337024176263 TRUE
chr1:3742934-3743001 2147.38690163391 31.5792191416752 TRUE
chr1:3743272-3743309 21909.898973507 576.5762887765 TRUE
chr1:3745830-3745938 10376.9753773216 95.2016089662531 TRUE
chr1:3746355-3746562 10361.8086246267 49.8163876183974 TRUE
chr1:3747610-3747787 10674.0486682218 59.9665655518076 TRUE
chr1:3750426-3750600 12599.4122430178 71.9966413886729 TRUE
chr1:3751489-3751657 30107.3244803953 178.149848996422 TRUE
chr1:3753059-3753257 22354.1958905995 112.332642666329 TRUE
chr1:3753856-3754084 21535.6243674332 94.042027805385 TRUE
chr1:3755528-3755684 30305.6577821002 193.029667401912 TRUE
chr1:3756172-3756341 21344.3067855699 125.55474579747 TRUE
chr1:3761471-3761548 8246.14348894159 105.719788319764 TRUE
chr1:3761853-3761916 3780.97451604665 59.0777268132289 TRUE
chr1:3764039-3764178 12205.2335301553 87.180239501109 TRUE
chr1:3765172-3765346 15652.4660309261 89.4426630338635 TRUE
chr1:3768859-3768972 15569.0252687882 136.570397094633 TRUE
