ID	chrom	loc.start	loc.end	num.mark	seg.mean
Sample1	1	1216044	248722319	933	0.133381833060556
Sample1	2	1638036	231775198	707	-0.417889405204461
Sample1	2	236403412	241737117	93	0.0831
Sample1	3	11832017	149470198	436	0.1151
Sample1	3	150264604	151542537	18	1.447
Sample1	3	151545662	195938114	80	0.1254
Sample1	4	843512	70146579	133	0.1301
Sample1	4	75673305	77700146	39	-0.3815
Sample1	4	81188156	108831608	44	0.8534
Sample1	4	110635592	186611721	139	0.0788
Sample1	5	442758	10761153	38	0.1437
Sample1	5	38869183	180687408	359	-0.470303870967742
Sample1	6	2623865	144219759	293	-0.4282
Sample1	6	144224235	170862274	117	0.2096
Sample1	7	938572	14028655	56	0.1258
Sample1	7	23286512	23313764	11	1.5421
Sample1	7	26232167	156469231	309	-0.4089
Sample1	8	6264200	145537891	337	-0.4565
Sample1	9	214953	139440208	369	-0.417889405204461
Sample1	10	323391	72576623	233	0.0987
Sample1	10	72604313	72645621	16	-0.4625
Sample1	10	74768015	75000741	29	0.0539
Sample1	10	82300671	82403793	7	-1.4644
Sample1	10	85982056	88768887	12	0.8815
Sample1	10	91066426	99790218	36	-1.301
Sample1	10	102283640	102289566	5	1.0576
Sample1	10	103541552	121214530	73	-1.4029
Sample1	10	124591880	134121207	24	-0.049
Sample1	11	2291272	34378689	106	-0.470303870967742
Sample1	11	36614927	44081429	15	0.2505
Sample1	11	46880700	57317513	71	-0.388
Sample1	11	57947383	65172437	77	0.0606
Sample1	11	65340286	66335024	33	-0.4986
Sample1	11	66335504	71847083	27	0.7708
Sample1	11	71850100	77907628	66	0.1291
Sample1	11	77909048	77924776	9	0.7195
Sample1	11	82536056	134134828	152	-0.3788
Sample1	12	1740561	99126271	379	0.8812
Sample1	12	113537804	124428836	212	0.1012
Sample1	13	20398996	114438189	329	0.8029
Sample1	14	20757846	101349087	318	0.112465182186235
Sample1	15	27216709	99926271	394	0.133381833060556
Sample1	16	230533	31123514	225	0.0953
Sample1	16	56899289	56947247	25	0.7182
Sample1	16	57507348	57722319	20	-0.4244
Sample1	16	66918983	90038049	183	0.1368
Sample1	17	1399145	76832319	621	0.133381833060556
Sample1	17	77768896	80559277	24	-0.4355
Sample1	18	5394737	71825663	132	-0.4495
Sample1	19	1481982	57301280	496	0.133381833060556
Sample1	20	207959	62610775	330	0.1101
Sample1	21	11098731	47865219	176	0.112465182186235
Sample1	22	17443695	45996257	148	0.1203
Sample1	22	50703417	51066096	20	-0.6394
