Target	gc_bias	mappability	reptiming	Gene	on_target
chr1:1216042-1216047	0.5	1	80.4162145935663	SCNN1D	TRUE
chr1:1216606-1216678	0.657534246575342	1	80.4162145935663	SCNN1D	TRUE
chr1:1216791-1216991	0.661691542288557	1	80.4162145935663	SCNN1D	TRUE
chr1:1217622-1217696	0.653333333333333	1	80.4162145935663	SCNN1D	TRUE
chr1:1219358-1219471	0.657894736842105	1	80.4162145935663	SCNN1D	TRUE
chr1:1220951-1221045	0.663157894736842	1	80.4162145935663	SCNN1D	TRUE
chr1:1221306-1221659	0.69774011299435	1	80.4162145935663	SCNN1D	TRUE
chr1:1222148-1222356	0.655502392344498	1	80.4162145935663	SCNN1D	TRUE
chr1:1222489-1222680	0.651041666666667	1	80.4162145935663	SCNN1D	TRUE
chr1:1222888-1222977	0.666666666666667	1	80.4162145935663	SCNN1D	TRUE
chr1:1223053-1223217	0.666666666666667	1	80.4162145935663	SCNN1D	TRUE
chr1:1223319-1223418	0.7	1	80.4162145935663	SCNN1D	TRUE
chr1:1225651-1225769	0.680672268907563	1	80.4162145935663	SCNN1D	TRUE
chr1:1225857-1225936	0.6875	1	80.4162145935663	SCNN1D	TRUE
chr1:1226017-1226075	0.610169491525424	1	80.4162145935663	SCNN1D	TRUE
chr1:1226275-1226334	0.633333333333333	1	80.4162145935663	SCNN1D	TRUE
chr1:1226445-1226521	0.597402597402597	1	80.4162145935663	SCNN1D	TRUE
chr1:1226634-1226991	0.687150837988827	1	80.4162145935663	SCNN1D	TRUE
chr1:3731966-3732082	0.641025641025641	1	81.3065319250126	CEP104	TRUE
chr1:3732844-3732935	0.630434782608696	1	81.3065319250126	CEP104	TRUE
chr1:3739738-3739806	0.579710144927536	1	81.3065319250126	CEP104	TRUE
chr1:3739988-3740127	0.485714285714286	1	81.3065319250126	CEP104	TRUE
chr1:3742322-3742431	0.463636363636364	1	81.3065319250126	CEP104	TRUE
chr1:3742934-3743001	0.514705882352941	1	81.3065319250126	CEP104	TRUE
chr1:3743272-3743309	0.421052631578947	1	81.3065319250126	CEP104	TRUE
chr1:3745830-3745938	0.431192660550459	1	81.3065319250126	CEP104	TRUE
chr1:3746355-3746562	0.480769230769231	1	81.3065319250126	CEP104	TRUE
chr1:3747610-3747787	0.50561797752809	1	81.3065319250126	CEP104	TRUE
chr1:3750426-3750600	0.411428571428571	1	81.3065319250126	CEP104	TRUE
chr1:3751489-3751657	0.461538461538462	1	81.3065319250126	CEP104	TRUE
chr1:3753059-3753257	0.5678391959799	1	81.3065319250126	CEP104	TRUE
chr1:3753856-3754084	0.480349344978166	1	81.3065319250126	CEP104	TRUE
chr1:3755528-3755684	0.579617834394904	1	81.3065319250126	CEP104	TRUE
chr1:3756172-3756341	0.382352941176471	1	81.3065319250126	CEP104	TRUE
chr1:3761471-3761548	0.564102564102564	1	81.3065319250126	CEP104	TRUE
chr1:3761853-3761916	0.40625	1	81.3065319250126	CEP104	TRUE
chr1:3764039-3764178	0.364285714285714	1	81.3065319250126	CEP104	TRUE
chr1:3765172-3765346	0.394285714285714	1	81.3065319250126	CEP104	TRUE
chr1:3768859-3768972	0.570175438596491	1	81.3065319250126	CEP104	TRUE
chr1:6309398-6310064	0.80359820089955	1	75.7459330794835	GPR153	TRUE
chr1:6310500-6310685	0.60752688172043	1	75.7459330794835	GPR153	TRUE
chr1:6311398-6311591	0.670103092783505	1	75.7459330794835	GPR153	TRUE
chr1:6313778-6314208	0.654292343387471	1	75.7459330794835	GPR153	TRUE
chr1:6314610-6314966	0.624649859943978	1	75.7459330794835	GPR153	TRUE
chr1:8921419-8921489	0.52112676056338	1	76.0606032267656	ENO1	TRUE
chr1:8922946-8923005	0.583333333333333	1	76.0606032267656	ENO1	TRUE
chr1:8923294-8923403	0.609090909090909	1	76.0606032267656	ENO1	TRUE
chr1:8923950-8924152	0.551724137931034	1	76.0606032267656	ENO1	TRUE
chr1:8925344-8925542	0.557788944723618	1	76.0606032267656	ENO1	TRUE
chr1:8926338-8926561	0.508928571428571	1	76.0606032267656	ENO1	TRUE
chr1:8927176-8927310	0.607407407407407	1	76.0606032267656	ENO1	TRUE
chr1:8928047-8928117	0.366197183098592	1	76.0606032267656	ENO1	TRUE
chr1:8930511-8930570	0.483333333333333	1	76.0606032267656	ENO1	TRUE
chr1:8931950-8932046	0.536082474226804	1	76.0606032267656	ENO1	TRUE
chr1:8934883-8934968	0.476744186046512	1	76.0606032267656	ENO1	TRUE
chr1:10292387-10292493	0.532710280373832	1	73.0603819743241	KIF1B	TRUE
chr1:10316305-10316382	0.423076923076923	1	75.0915417057453	KIF1B	TRUE
chr1:10318551-10318731	0.441988950276243	1	75.0915417057453	KIF1B	TRUE
chr1:10321963-10322029	0.313432835820896	1	75.0915417057453	KIF1B	TRUE
chr1:10327438-10327617	0.461111111111111	1	75.0915417057453	KIF1B	TRUE
chr1:10328210-10328322	0.451327433628319	1	75.0915417057453	KIF1B	TRUE
chr1:10331560-10331638	0.468354430379747	1	75.0915417057453	KIF1B	TRUE
chr1:10332299-10332365	0.432835820895522	1	75.0915417057453	KIF1B	TRUE
chr1:10335486-10335562	0.350649350649351	1	75.0915417057453	KIF1B	TRUE
chr1:10336379-10336458	0.5375	1	75.0915417057453	KIF1B	TRUE
chr1:10338044-10338187	0.444444444444444	1	75.0915417057453	KIF1B	TRUE
chr1:10342458-10342592	0.503703703703704	1	75.0915417057453	KIF1B	TRUE
chr1:10351140-10351220	0.432098765432099	1	75.0915417057453	KIF1B	TRUE
chr1:10352105-10352181	0.506493506493506	1	75.0915417057453	KIF1B	TRUE
chr1:10355144-10355224	0.395061728395062	1	75.0915417057453	KIF1B	TRUE
chr1:10355718-10355825	0.564814814814815	1	75.0915417057453	KIF1B	TRUE
chr1:10356640-10356724	0.552941176470588	1	75.0915417057453	KIF1B	TRUE
chr1:10356955-10357136	0.483516483516484	1	75.0915417057453	KIF1B	TRUE
chr1:10357232-10357305	0.432432432432432	1	75.0915417057453	KIF1B	TRUE
chr1:10363221-10364706	0.468371467025572	1	75.0915417057453	KIF1B	TRUE
chr1:10380101-10380195	0.484210526315789	1	75.0915417057453	KIF1B	TRUE
chr1:10381767-10381916	0.48	1	75.0915417057453	KIF1B	TRUE
chr1:10383942-10384121	0.466666666666667	1	75.0915417057453	KIF1B	TRUE
chr1:10384816-10384954	0.546762589928058	1	75.0915417057453	KIF1B	TRUE
chr1:10386169-10386418	0.572	1	75.0915417057453	KIF1B	TRUE
chr1:10394578-10394697	0.566666666666667	1	75.0915417057453	KIF1B	TRUE
chr1:10396715-10396801	0.379310344827586	1	75.0915417057453	KIF1B	TRUE
chr1:10397132-10397262	0.473282442748092	1	75.0915417057453	KIF1B	TRUE
chr1:10397429-10397592	0.463414634146341	1	75.0915417057453	KIF1B	TRUE
chr1:10399827-10399918	0.489130434782609	1	75.0915417057453	KIF1B	TRUE
chr1:10402108-10402227	0.425	1	75.0492696478815	KIF1B	TRUE
chr1:10403290-10403346	0.666666666666667	1	75.0492696478815	KIF1B	TRUE
chr1:10405903-10406012	0.5	1	75.0492696478815	KIF1B	TRUE
chr1:10407819-10407886	0.529411764705882	1	75.0492696478815	KIF1B	TRUE
chr1:10408707-10408792	0.523255813953488	1	75.0492696478815	KIF1B	TRUE
chr1:10412689-10412795	0.467289719626168	1	75.0492696478815	KIF1B	TRUE
chr1:10420987-10421102	0.508620689655172	1	75.0492696478815	KIF1B	TRUE
chr1:10421750-10421884	0.548148148148148	1	75.0492696478815	KIF1B	TRUE
chr1:10423341-10423403	0.46031746031746	1	75.0492696478815	KIF1B	TRUE
chr1:10425158-10425304	0.54421768707483	1	75.0492696478815	KIF1B	TRUE
chr1:10425467-10425707	0.547717842323652	1	75.0492696478815	KIF1B	TRUE
chr1:10428525-10428597	0.534246575342466	1	75.0492696478815	KIF1B	TRUE
chr1:10431199-10431321	0.536585365853659	1	75.0492696478815	KIF1B	TRUE
chr1:10434374-10434524	0.463576158940397	1	75.0492696478815	KIF1B	TRUE
chr1:10434912-10435105	0.479381443298969	1	75.0492696478815	KIF1B	TRUE
chr1:10435313-10435432	0.508333333333333	1	75.0492696478815	KIF1B	TRUE
chr1:10436603-10436646	0.522727272727273	1	75.0492696478815	KIF1B	TRUE
chr1:12049226-12049401	0.488636363636364	1	83.8049638200514	MFN2	TRUE
chr1:12052612-12052748	0.518248175182482	1	83.8049638200514	MFN2	TRUE
chr1:12056213-12056376	0.567073170731707	1	83.8049638200514	MFN2	TRUE
chr1:12057354-12057479	0.571428571428571	1	83.8049638200514	MFN2	TRUE
chr1:12058827-12058936	0.527272727272727	1	83.8049638200514	MFN2	TRUE
chr1:12059045-12059153	0.55045871559633	1	83.8049638200514	MFN2	TRUE
chr1:12061458-12061612	0.612903225806452	1	83.8049638200514	MFN2	TRUE
chr1:12061826-12061894	0.478260869565217	1	83.8049638200514	MFN2	TRUE
chr1:12062039-12062161	0.601626016260163	1	83.8049638200514	MFN2	TRUE
chr1:12064049-12064176	0.484375	1	83.8049638200514	MFN2	TRUE
chr1:12064566-12064671	0.518867924528302	1	83.8049638200514	MFN2	TRUE
chr1:12064882-12064985	0.586538461538462	1	83.8049638200514	MFN2	TRUE
chr1:12065768-12065989	0.536036036036036	1	83.8049638200514	MFN2	TRUE
chr1:12066595-12066751	0.617834394904459	1	83.8049638200514	MFN2	TRUE
chr1:12067110-12067307	0.595959595959596	1	83.8049638200514	MFN2	TRUE
chr1:12069649-12069784	0.507352941176471	1	83.8049638200514	MFN2	TRUE
chr1:12071553-12071623	0.507042253521127	1	83.8049638200514	MFN2	TRUE
chr1:12939365-12939927	0.492007104795737	0.161904763962541	64.1914551234481	PRAMEF4	TRUE
chr1:12941675-12942257	0.48885077186964	0.154166669398546	64.1914551234481	PRAMEF4	TRUE
chr1:12942923-12943216	0.598639455782313	0.464285718543189	64.1914551234481	PRAMEF4	TRUE
chr1:13474689-13475263	0.547826086956522	0.357142859271594	31.2486377376141	PRAMEF19	TRUE
chr1:13476271-13476850	0.475862068965517	0.350000001490116	31.2486377376141	PRAMEF19	TRUE
