Target total_coverage counts on_target duplication_rate
chr1:1222148-1222356 26934.6081836184 269.346081836184 TRUE NA
chr1:1222888-1222977 19596.0629186693 195.960629186693 TRUE NA
chr1:3745830-3745938 10631.4399283825 106.314399283825 TRUE NA
chr1:3747610-3747787 9815.38891524849 98.1538891524849 TRUE NA
chr1:3753856-3754084 19381.2400707201 193.812400707201 TRUE NA
chr1:8921419-8921489 3262.7038797354 32.627038797354 TRUE NA
chr1:8934883-8934968 6277.23265576611 62.7723265576611 TRUE NA
chr1:10331560-10331638 6949.77699408005 69.4977699408005 TRUE NA
chr1:10352105-10352181 4721.86111595141 47.2186111595141 TRUE NA
chr1:10412689-10412795 12747.5500068475 127.475500068475 TRUE NA
chr1:10421750-10421884 22669.7343931388 226.697343931388 TRUE NA
chr1:10423341-10423403 4905.32848586961 49.0532848586961 TRUE NA
chr1:10425158-10425304 14451.2467251391 144.512467251391 TRUE NA
chr1:10435313-10435432 7918.16262597965 79.1816262597965 TRUE NA
chr1:12066595-12066751 8435.00476277605 84.3500476277605 TRUE NA
chr1:12067110-12067307 10578.5427210071 105.785427210071 TRUE NA
chr1:12071553-12071623 6424.0236660575 64.240236660575 TRUE NA
chr1:13476271-13476850 0 0 TRUE NA
chr1:13695525-13696099 0 0 TRUE NA
chr1:19404470-19404561 4289.93641651535 42.8993641651535 TRUE NA
chr1:19412639-19412765 7642.75726418353 76.4275726418353 TRUE NA
chr1:19419807-19419981 20129.2126271191 201.292126271191 TRUE NA
chr1:19420443-19420634 11112.5170990199 111.125170990199 TRUE NA
chr1:19437236-19437327 6575.43356764388 65.7543356764388 TRUE NA
chr1:19440439-19440565 12871.1832634858 128.711832634858 TRUE NA
chr1:19441305-19441444 18087.8673769458 180.878673769458 TRUE NA
chr1:19441892-19442132 34879.8041641328 348.798041641328 TRUE NA
chr1:19446051-19446196 6682.79013659809 66.8279013659809 TRUE NA
chr1:19447683-19447929 15340.2690003116 153.402690003116 TRUE NA
chr1:19454705-19454813 8310.8066094919 83.108066094919 TRUE NA
chr1:19464501-19464676 21173.8942756848 211.738942756848 TRUE NA
chr1:19467841-19468019 26702.9649283885 267.029649283885 TRUE NA
chr1:19473320-19473495 25848.2966090464 258.482966090464 TRUE NA
chr1:19474487-19474622 11660.6388713916 116.606388713916 TRUE NA
chr1:19478807-19478971 8308.03347365888 83.0803347365888 TRUE NA
chr1:19486605-19486776 12218.4703422902 122.184703422902 TRUE NA
chr1:19488321-19488392 8658.26482807066 86.5826482807066 TRUE NA
chr1:19490258-19490322 12902.1084478492 129.021084478492 TRUE NA
chr1:19494521-19494679 8440.51219471395 84.4051219471395 TRUE NA
chr1:19499675-19499801 14587.3786886082 145.873786886082 TRUE NA
chr1:19500813-19500942 7504.48859203807 75.0448859203807 TRUE NA
chr1:19503086-19503222 19039.6328068356 190.396328068356 TRUE NA
chr1:19503955-19504238 25204.2646018124 252.042646018124 TRUE NA
chr1:19519927-19520052 28618.2256571883 286.182256571883 TRUE NA
chr1:21924893-21924996 4202.92796602201 42.0292796602201 TRUE NA
chr1:21929297-21929407 14104.4903870149 141.044903870149 TRUE NA
chr1:21935343-21935430 11267.5388296823 112.675388296823 TRUE NA
chr1:22147943-22148105 24457.8521725536 244.578521725536 TRUE NA
chr1:22413162-22413360 16386.184249919 163.86184249919 TRUE NA
chr1:22417921-22418011 90.0580263376698 0.900580263376698 TRUE NA
chr1:23693535-23693662 10606.1396196947 106.061396196947 TRUE NA
