Target	total_coverage	average_coverage
chr1:1216042-1216047	129	25.3844474859794
chr1:1216606-1216678	1950	37.7432860291868
chr1:1216791-1216991	11265	80.775721955756
chr1:1217622-1217696	1003	18.8928391692335
chr1:1219358-1219471	1093	13.5514081999214
chr1:1220951-1221045	957	14.5148379745621
chr1:1221306-1221659	27863	129.944040358734
chr1:1222148-1222356	8064	54.5165097344075
chr1:1222489-1222680	5705	41.9825169572122
chr1:1222888-1222977	3338	53.4613049132582
chr1:1223053-1223217	5043	44.0490018374001
chr1:1223319-1223418	1678	29.4098789214853
chr1:1225651-1225769	1655	20.6085292049184
chr1:1225857-1225936	3482	64.4923994457295
chr1:1226017-1226075	1539	36.5154623660483
chr1:1226275-1226334	271	6.36259869160611
chr1:1226445-1226521	1083	19.4924302667557
chr1:1226634-1226991	13313	55.0992955521865
chr1:3731966-3732082	3650	43.9694399874002
chr1:3732844-3732935	908	13.8935506827771
chr1:3739738-3739806	1410	27.5126087228853
chr1:3739988-3740127	10725	87.3856117023318
chr1:3742322-3742431	2614	26.8349582617305
chr1:3742934-3743001	574	10.1727799187844
chr1:3743272-3743309	4807	141.563758529387
chr1:3745830-3745938	4261	43.7448800072234
chr1:3746355-3746562	3742	20.5203910001951
chr1:3747610-3747787	4539	30.1071353903476
chr1:3750426-3750600	3221	20.60228296068
chr1:3751489-3751657	7713	51.5466117451759
chr1:3753059-3753257	5008	32.8001118557737
chr1:3753856-3754084	5969	29.7368867912778
chr1:3755528-3755684	8966	76.9087167970621
chr1:3756172-3756341	4363	29.7408547584723
chr1:3761471-3761548	1943	32.4612946494765
chr1:3761853-3761916	920	16.0923861474513
chr1:3764039-3764178	3913	34.5219938857304
chr1:3765172-3765346	7163	46.535092722876
chr1:3768859-3768972	4710	55.6446888120225
chr1:6309398-6310064	794	13.5359191236107
chr1:6310500-6310685	2712	20.2133451841606
chr1:6311398-6311591	9523	72.3209618316701
chr1:6313778-6314208	9660	31.6670550323503
chr1:6314610-6314966	16422	64.7272727913425
chr1:8921419-8921489	416	7.11098851543093
chr1:8922946-8923005	2414	55.0047086058728
chr1:8923294-8923403	1717	21.6413112705588
chr1:8923950-8924152	5949	38.0195455760381
chr1:8925344-8925542	2718	17.7191058535885
chr1:8926338-8926561	16870	88.9164065194933
chr1:8927176-8927310	5045	51.8088278142718
chr1:8928047-8928117	2347	40.8335283671644
chr1:8930511-8930570	744	14.1441272041367
chr1:8931950-8932046	2945	37.8041548235708
chr1:8934883-8934968	3239	42.6191514012591
chr1:10292387-10292493	3162	36.7955459498194
chr1:10316305-10316382	4546	65.2200462220767
chr1:10318551-10318731	4621	28.5701403577491
chr1:10321963-10322029	1657	41.5376565150765
chr1:10327438-10327617	4380	27.4787261998276
chr1:10328210-10328322	2367	23.4447489422187
chr1:10331560-10331638	4209	60.1753609505472
chr1:10332299-10332365	3586	59.8932202094294
chr1:10335486-10335562	1152	19.3916902941985
chr1:10336379-10336458	6463	100.599396185648
chr1:10338044-10338187	4902	38.0935204769988
chr1:10342458-10342592	5949	52.0322139863772
chr1:10351140-10351220	2112	29.1744441490998
chr1:10352105-10352181	2171	33.2831430060353
chr1:10355144-10355224	4802	67.3980038263398
chr1:10355718-10355825	3363	40.5798761695985
chr1:10356640-10356724	875	13.3477012615978
chr1:10356955-10357136	11659	73.0703861852418
chr1:10357232-10357305	2113	31.9497652649329
chr1:10363221-10364706	78760	59.8591240686749
chr1:10380101-10380195	3795	45.5691840165534
chr1:10381767-10381916	6262	47.6223637719926
chr1:10383942-10384121	7880	49.445895315596
chr1:10384816-10384954	7583	68.7657642993536
chr1:10386169-10386418	17057	91.8837637377613
chr1:10394578-10394697	7171	77.8758317243162
chr1:10396715-10396801	3423	46.9462601239778
chr1:10397132-10397262	7198	62.185936524142
chr1:10397429-10397592	10312	71.0177683290241
chr1:10399827-10399918	3011	37.3336518864028
chr1:10402108-10402227	5085	47.4266568100825
chr1:10403290-10403346	1636	41.3680089245217
chr1:10405903-10406012	5025	53.9330958678854
chr1:10407819-10407886	2880	51.3908470355802
chr1:10408707-10408792	6067	85.6109624170055
chr1:10412689-10412795	2932	30.9460377260697
chr1:10420987-10421102	9300	94.6544723233007
chr1:10421750-10421884	7753	72.3962941102086
chr1:10423341-10423403	1952	34.9893521442934
chr1:10425158-10425304	4341	37.2255365675511
chr1:10425467-10425707	15176	79.3800215935893
chr1:10428525-10428597	2747	46.8567307645247
chr1:10431199-10431321	6897	69.8181475941244
chr1:10434374-10434524	6488	48.531067193037
chr1:10434912-10435105	8509	49.6355809999794
chr1:10435313-10435432	3349	32.9525548527295
chr1:10436603-10436646	2496	68.8406789215694
chr1:12049226-12049401	7319	47.4398589048424
chr1:12052612-12052748	9316	81.9607860755139
chr1:12056213-12056376	6451	51.2656495989725
chr1:12057354-12057479	2670	28.5360831540842
chr1:12058827-12058936	7038	77.6384036206947
chr1:12059045-12059153	5742	68.3340041264308
chr1:12061458-12061612	1293	11.6771072136826
chr1:12061826-12061894	3210	52.6458556342691
chr1:12062039-12062161	3929	44.2808124267552
chr1:12064049-12064176	3496	31.1512995116914
chr1:12064566-12064671	6197	70.4621699113904
chr1:12064882-12064985	2332	30.6538793672301
chr1:12065768-12065989	13708	76.8908616717885
chr1:12066595-12066751	1311	11.691108541277
chr1:12067110-12067307	2547	17.8287804573598
chr1:12069649-12069784	4620	40.1074270278474
chr1:12071553-12071623	2634	43.8029303130155
chr1:12939365-12939927	0	0
chr1:12941675-12942257	0	0
chr1:12942923-12943216	678	3.20252588308718
chr1:13474689-13475263	0	0
chr1:13476271-13476850	0	0
chr1:13477236-13477523	777	3.78035845047279
chr1:13695525-13696099	0	0
chr1:13697107-13697686	0	0
chr1:13698072-13698359	277	1.34412744905699
chr1:15764961-15765001	866	29.2802366453685
chr1:15766796-15766888	204	5.08782884552407
chr1:15766989-15767087	3566	46.9392145031772
chr1:15768943-15769069	4242	44.9790078974238
chr1:15769914-15770051	5922	59.4893444343164
chr1:15771101-15771247	5024	47.8565377174666
chr1:15772092-15772245	5269	48.1373913519962
chr1:15773070-15773085	188	14.0218240075429
chr1:16577165-16578281	51562	58.189325023981
chr1:16578783-16578900	3466	38.0973747379133
chr1:16579591-16579648	997	19.6078666644444
chr1:16580130-16580227	6991	98.9039811685884
chr1:16582206-16582317	1567	16.517600945528
chr1:16583101-16583255	6593	50.2257858629564
chr1:16621278-16621413	4318	35.930909638608
chr1:16632298-16632415	2580	25.8094893973725
chr1:16641664-16641914	14804	69.6360331499099
chr1:19401326-19401391	1128	19.4938011224755
chr1:19403234-19403397	10385	82.5150211643859
chr1:19404470-19404561	1086	13.3271257360446
chr1:19407843-19408068	10423	63.0578464057383
chr1:19410998-19411193	5518	36.6834782971804
chr1:19412639-19412765	2111	23.0415498601337
chr1:19413173-19413316	3611	32.6828289766708
chr1:19414310-19414424	1259	14.2038220422251
chr1:19415253-19415472	6589	41.5219264928402
chr1:19419313-19419413	2853	36.8137926072947
chr1:19419807-19419981	5431	34.7250863807659
chr1:19420443-19420634	4420	27.7461366979166
chr1:19421400-19421520	5037	51.83751532626
chr1:19422039-19422147	2603	27.2388514221601
chr1:19423017-19423145	3964	35.0523410470259
chr1:19423687-19423775	787	11.5197850141057
chr1:19426091-19426172	1698	23.1761694793962
chr1:19426870-19427068	5874	35.8219080163005
chr1:19428014-19428136	3192	31.2776823332292
chr1:19430578-19430752	7723	53.5508401341241
chr1:19431079-19431161	2563	40.0560753117726
chr1:19431542-19431684	5013	45.4781735890787
chr1:19432227-19432337	2862	36.095422538218
chr1:19433063-19433221	5517	43.2083060730536
chr1:19433331-19433461	2219	21.3545746513483
chr1:19436590-19436718	4475	39.2580552870334
chr1:19436874-19436959	3967	59.8376539550542
chr1:19437236-19437327	3049	43.1861623718848
chr1:19439018-19439362	14297	55.8062900380013
chr1:19440193-19440322	4634	41.7683168730272
chr1:19440439-19440565	8011	74.4767882518873
chr1:19441305-19441444	7435	60.5802093396533
chr1:19441892-19442132	8980	48.3319095245029
chr1:19443715-19443909	4801	28.0829364327295
chr1:19444317-19444405	2470	32.7636473365547
chr1:19445366-19445452	2921	37.5675523623046
chr1:19446051-19446196	3794	29.6456343577027
chr1:19446674-19446843	5461	40.490492196063
chr1:19447683-19447929	4372	22.3126311292128
chr1:19448428-19448507	2031	30.6027111537838
chr1:19449327-19449555	7979	43.9193259063149
chr1:19451035-19451185	5287	39.1790291392399
chr1:19452940-19453150	4424	26.4347951852877
chr1:19454117-19454234	4316	42.8579251392801
chr1:19454705-19454813	2801	29.026028086131
chr1:19455472-19455569	2209	29.237821811119
chr1:19464501-19464676	7806	60.6378032977991
chr1:19465577-19465715	6330	64.1784710585323
chr1:19467282-19467387	2266	30.8170045577099
chr1:19467841-19468019	6189	47.9408420074262
chr1:19468141-19468272	12529	111.210340465294
chr1:19470474-19470586	3290	34.1176265734236
chr1:19471280-19471402	5338	48.5681195270784
chr1:19472287-19472428	5227	43.4605354399488
chr1:19473320-19473495	8900	62.9695688217384
chr1:19474487-19474622	3947	40.6318526787853
chr1:19475057-19475121	3164	59.0721708073682
chr1:19477071-19477288	7329	41.8634942413851
chr1:19478137-19478354	11053	59.8600691878676
chr1:19478807-19478971	3549	25.2015847388167
chr1:19479795-19479997	6902	42.3366687747499
chr1:19480262-19480434	4773	32.57473982038
chr1:19481412-19481570	4848	36.9989829070801
chr1:19481935-19482163	7929	38.7425875121533
chr1:19482765-19482918	6645	50.5554803105504
chr1:19483261-19483420	9947	74.9338539752162
chr1:19484309-19484492	10514	78.1250074506481
chr1:19486605-19486776	5617	40.6681059465686
chr1:19487411-19487642	10120	54.9873994269075
chr1:19488083-19488231	5068	40.154653906891
chr1:19488321-19488392	3791	62.8297050210328
chr1:19488914-19489106	5250	33.0066361125804
chr1:19490258-19490322	3323	63.1400474933287
chr1:19490747-19490936	5345	36.4889053924924
chr1:19491293-19491492	5379	35.0545494207514
chr1:19491743-19491844	3588	39.3692729254059
chr1:19492150-19492252	2471	27.3643235183258
chr1:19493516-19493726	7262	39.2613595456763
chr1:19494521-19494679	2636	20.1194862774479
chr1:19495929-19496027	3108	35.4524132927492
chr1:19497256-19497378	2306	20.982770533012
chr1:19499358-19499588	9407	46.4474886897135
chr1:19499675-19499801	6610	58.2481709996412
chr1:19499933-19500116	7910	48.5536555417422
chr1:19500813-19500942	4148	36.1119787895427
chr1:19501448-19501528	2088	31.0727803680404
chr1:19503086-19503222	7245	62.4339340957483
chr1:19503955-19504238	9306	38.3940461130183
chr1:19505545-19505715	6280	45.7360542381343
chr1:19510305-19510391	1570	20.5888303253764
chr1:19510510-19510670	7542	52.4177584942016
chr1:19511593-19511781	1988	13.2615186146508
chr1:19513034-19513152	3200	36.7655136567716
chr1:19513658-19513796	6242	54.4973539638231
chr1:19513935-19514035	4757	53.3022313064074
chr1:19518682-19518873	9629	60.4460797306915
chr1:19518975-19519035	1317	26.1990174143607
chr1:19519927-19520052	8233	81.3611158159459
chr1:19523635-19523760	5092	45.2220670527474
chr1:19524164-19524306	9033	70.6923527770862
chr1:19524441-19524544	5066	54.5104401420274
chr1:19525035-19525175	4660	36.9856301928558
chr1:19525293-19525423	5327	45.5018373265209
chr1:19526145-19526249	2579	29.6023074413915
chr1:19528212-19528310	2286	25.8395824857198
chr1:19536567-19536743	6236	90.2485293582168
chr1:19992247-19992961	32083	74.0768528890407
chr1:20005060-20005219	1574	13.8460079188437
chr1:20005412-20005862	13285	43.4014164913628
chr1:20517055-20517898	39617	56.9607168795782
chr1:21924213-21924222	76	10.5364487928409
chr1:21924454-21924558	1309	17.5736832257334
chr1:21924893-21924996	2367	31.5538913848763
chr1:21925987-21926111	1630	19.2109460640656
chr1:21928177-21928291	2033	24.8777865858899
chr1:21929297-21929407	4663	59.1128854340065
chr1:21930328-21930406	4008	63.9502698974557
chr1:21932559-21932691	2428	25.802785581915
chr1:21934706-21934844	2606	26.2524892393944
chr1:21935343-21935430	3315	42.6304682231925
chr1:21936068-21936140	2011	38.1946268740484
chr1:21936613-21936769	7243	64.5881241927073
chr1:21937945-21938075	3697	39.1234980176278
chr1:21938209-21938310	2966	34.3339410647572
chr1:21938519-21938603	1826	25.1664360850666
chr1:21939669-21939723	2575	55.2790619206304
chr1:21940121-21940200	2384	37.1068449849279
chr1:21940479-21940583	1793	22.2576841675254
chr1:21943799-21943985	3483	25.8281632908719
chr1:21944427-21944466	1535	51.6854587755427
chr1:21945518-21945566	645	18.4257471141563
chr1:21946508-21946544	1544	49.7983587944482
chr1:21952797-21952891	1741	22.824445254152
chr1:21976254-21976290	1361	50.9908666579854
chr1:21978272-21978316	63	2.74929708865378
chr1:22138945-22139030	609	9.68017243175688
chr1:22140891-22141317	21433	116.601885733723
chr1:22142436-22142568	3831	40.524901225884
chr1:22147943-22148105	7786	66.8843419181797
chr1:22148695-22148709	165	13.697157544772
chr1:22404972-22405077	365	3.84963896712326
chr1:22408215-22408288	419	6.43509955561881
chr1:22412932-22413042	2617	26.8091250037971
chr1:22413162-22413360	5330	30.3064491376983
chr1:22416436-22416526	2823	35.0345288417037
chr1:22417921-22418011	69	0.890432561669023
chr1:23337394-23337595	10912	60.4527607569764
chr1:23340376-23340539	5093	39.1416495232801
chr1:23342265-23342267	39	18.6794053217135
chr1:23688462-23689715	72089	64.9302083529834
chr1:23693535-23693662	3169	29.2334381280395
chr1:23694466-23694499	775	33.5749586503109
chr1:24069916-24070069	0	0
chr1:24075511-24075568	2136	41.8736248468977
chr1:24076332-24076439	2797	31.4291130630821
chr1:24077335-24078521	57335	57.0264564452466
